0, 0
1, 1
2, 2
3, 3
4, 4
5, 5
6, 6
7, 7
8, 8
9, 9
10, 10
11, 11
12, 12
13, 13
14, 14
15, 15
16, 16
17, 17
18, 18
19, 19
20, 20
21, 21
22, 22
23, 23
24, 24
25, 25
26, 26
27, 27
28, 28
29, 29
30, 30
31, 31
32, 32
33, 33
34, 34
35, 35
36, 36
37, 37
38, 38
39, 39
40, 40
41, 41
42, 42
43, 43
44, 44
45, 45
46, 46
47, 47
48, 48
49, 49
50, 40
51, 41
52, 42
53, 43
54, 44
55, 45
56, 46
57, 47
58, 48
59, 49
60, 40
61, 41
62, 42
63, 43
64, 44
65, 45
66, 46
67, 47
68, 48
69, 49
70, 50
71, 51
72, 52
73, 53
74, 54
75, 55
76, 56
77, 57
78, 58
79, 59
80, 60
81, 61
82, 62
83, 63
84, 64
85, 65
86, 66
87, 67
88, 68
89, 69
90, 90
91, 91
92, 92
93, 93
94, 94
95, 95
96, 96
97, 97
98, 98
99, 99
100, 100
